name,district,basin,lat,lon,initial_area_ha,risk_class
Tsho Rolpa,Dolakha,Koshi,27.8617,86.4772,1.54,critical
Imja Tsho,Solukhumbu,Koshi,27.8983,86.9350,1.01,critical
Thulagi,Manang,Gandaki,28.4878,84.4653,0.76,critical
Dig Tsho,Solukhumbu,Koshi,27.8647,86.5825,0.38,high
Lower Barun,Sankhuwasabha,Koshi,27.7978,87.0836,1.84,high
Lumding Tsho,Solukhumbu,Koshi,27.8333,86.6167,0.63,high
Chamlang South,Sankhuwasabha,Koshi,27.7667,87.0500,0.49,moderate
Birendra Tal,Manang,Gandaki,28.5833,84.0167,0.42,moderate
Gangapurna,Manang,Gandaki,28.5950,83.9850,0.31,moderate
Tilicho Lake,Manang,Gandaki,28.6833,83.8500,4.80,low
Panch Pokhari,Sindhupalchok,Koshi,28.0167,85.7167,0.22,low
Gokyo Cho,Solukhumbu,Koshi,27.9500,86.6833,0.38,moderate
Lirung Tsho,Rasuwa,Gandaki,28.2333,85.5500,0.18,high
Dudh Pokhari,Solukhumbu,Koshi,27.9547,86.6917,0.25,low
Kapuche,Manang,Gandaki,28.5000,84.4167,0.55,moderate
Phoksundo,Dolpa,Karnali,29.1986,82.9403,4.94,low
Rara Lake,Humla,Karnali,29.5208,82.0833,10.80,low
Patarasi,Humla,Karnali,29.9500,81.8167,0.32,moderate
Nagdaha Glacial,Taplejung,Koshi,27.6833,87.9333,0.28,high
Lhonak,Taplejung,Koshi,27.9167,88.0667,1.17,critical
